,gender,address,image_url,language,format,vandalized,Sitong Bridge,Xi Jinping,Raise Awareness,Ugyhur or Hong Kong,Women's rights or Queer Rights,Iran or Ukraine,University,Special Location,Event,timestamp,filename,chalk,graffiti,hand-written message,large poster / sign,letter,other,photography,poster,protest,small sign,sticker,Chinese,English,Italian,Traditional Chinese,french,german,japanese,korean,spanish,latitude,longitude,country
18,Female,McGill University,,['Chinese'],['poster'],,,True,,,,,True,,,2022-11-03,2022_11_03_443694.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,45.50691775,-73.5791162596496, Canada
19,Female,Ciudad Universitaria,,"['English', 'Chinese', 'spanish']",['poster'],,True,True,,,,,True,,,2022-11-04,2022_11_04_179785.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,19.3215473,-99.1849188, México
20,Non-binary,爱丁堡大学,,['Chinese'],['poster'],,True,,,,,,True,True,,2022-10-15,2022_10_15_362140.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,55.91029585,-3.323447514558347, United Kingdom
21,Female,"Sheridan College, Oakville, ON, CANADA ",,"['Chinese', 'English']",['poster'],,,,,True,,True,True,,,2022-10-27,2022_10_27_881762.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,43.4695852,-79.69921291680899, Canada
22,,"767 5th Ave, NY
",,['English'],['poster'],,,,,,,,,True,True,2022-11-07,2022_11_07_478702.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,40.763535250000004,-73.97226187402164, United States
23,,,,['English'],['poster'],,,,,,,,,,,2022-11-01,2022_11_01_146720.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,44.933143,7.540121, Italia
24,,Washington University in St. Louis,,[' '],['sticker'],,,True,,,,,True,True,,2022-10-20,2022_10_20_540817.jpg,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,38.64724015,-90.3084017323959, United States
25,,Western University,,"['Chinese', 'English']",['poster'],,True,,,,,,True,,,2022-10-13,2022_10_13_245426.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,32.7139413,-117.0372503, United States
26,Female,温哥华,,"['English', 'Chinese']",['chalk'],,True,,,,True,,,,,2022-10-18,2022_10_18_732491.jpg,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,49.2608724,-123.113952, Canada
27,,悉尼大学,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-24,2022_10_24_472330.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,-33.88888125,151.18941425705117, Australia
28,Female,"Redwood City, California",,"['English', 'Chinese']",['poster'],,True,True,,,,,,,,2022-10-30,2022_10_30_500142.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,37.4863239,-122.232523, United States
29,Female,Syracuse University Shaffer Art Building,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-27,2022_10_27_541727.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,,,
30,Female,Barnard College,,['Chinese'],['poster'],,,,,,True,,True,,,2022-11-01,2022_11_01_397395.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,40.809516849999994,-73.96352577548073, United States
31,Female,柏林洪堡大学,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-11-02,2022_11_02_967013.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,34.9941961,135.7567698, 日本
32,,School of the Art Institute of Chicago,,['English'],['poster'],,True,True,,,,,True,,,2022-11-02,2022_11_02_807751.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,41.8789896,-87.62149960084983, United States
33,Female,Lehigh University,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-20,2022_10_20_375063.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.6068028,-75.3782488, United States
34,Male,Illinois Institute of Technology,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-13,2022_10_13_579022.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,41.8352554,-87.62643622073041, United States
35,Male,UC Santa Barbara,,"['English', 'Chinese']",['poster'],,True,,True,,,,True,,,2022-11-02,2022_11_02_283155.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,34.414602450000004,-119.84581004701371, United States
36,Male,"115 N Lincoln Ave, Monterey Park, Monterey Park, CA 91755",,['Chinese'],['poster'],,,True,,,,,,,,2022-10-27,2022_10_27_819177.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,34.062791637820595,-118.12093260357298, United States
37,,"Vancouver, British Columbia ",,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-27,2022_10_27_417828.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,49.2608724,-123.113952, Canada
38,,,,['Chinese'],['hand-written message'],,True,,,,,,,,,2022-11-08,2022_11_08_793996.jpg,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,44.933143,7.540121, Italia
39,Male,韩国外国语大学,,"['English', 'Chinese']",['poster'],,True,,,,,True,True,,,2022-10-27,2022_10_27_480200.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,37.5963062,127.0637429, 대한민국
40,,Delft City Center,,['English'],['poster'],,True,True,,,,,,,,2022-11-02,2022_11_02_239437.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,52.0096656,4.3566562, Nederland
41,Female,University of Connecticut McMahon Residence hall,,['English'],['poster'],,True,,,,,,True,,,2022-10-31,2022_10_31_579124.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,
42,Female,韩国高丽大学,,"['korean', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-14,2022_10_14_905136.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,37.5903784,127.0360133, 대한민국
43,Female,"Concordia University, Montreal, Quebec, Canada",,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-11-02,2022_11_02_351008.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,45.49524405,-73.57849928292674, Canada
44,Non-binary,"University of British Columbia, Vancouver, BC, Canada",,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-21,2022_10_21_561004.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,49.25783145,-123.24624198622213, Canada
45,Female,"University of Waterloo, ON, Canada",,"['English', 'Chinese']",['poster'],True,True,True,,,,,True,,,2022-10-28,2022_10_28_743119.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,43.4701994,-80.54524293779451, Canada
46,Female,The Australian National University,,['English'],['poster'],,True,True,,,,,True,,,2022-11-01,2022_11_01_493470.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.3222749,32.5836599, Uganda
47,,Caltech,,"['Chinese', 'English']",['poster'],,True,,,,,,True,,,2022-10-18,2022_10_18_146410.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,34.13701375,-118.1252882487961, United States
48,Female,Syracuse University ,,['English'],['poster'],,,True,,,,,,,,2022-10-31,2022_10_31_711248.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,43.017112850000004,-76.11855360009726, United States
49,Female,Syracuse University Shaffer Art Building,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-27,2022_10_27_104252.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,,,
50,Female,Leiden University,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-18,2022_10_18_347101.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,52.168633850000006,4.45966305742133, Nederland
51,,,,"['English', 'Chinese']",['poster'],,True,,,,,,,,,2022-11-01,2022_11_01_240480.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,44.933143,7.540121, Italia
52,Female,goldsmiths university of london,,"['English', 'Chinese']",['poster'],,True,True,,,True,,True,True,,2022-10-14,2022_10_14_304423.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,51.47403955,-0.03934928132920852, United Kingdom
53,Female,University of Southern California ,,"['English', 'Chinese']","['poster', 'hand-written message']",,True,,,,,,True,,,2022-11-08,2022_11_08_417572.jpg,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,34.0218833,-118.28586662125, United States
54,,"20, Rue Monsieur – 75007 Paris – France",,"['English', 'Chinese']",['poster'],,True,,,,,,,,,2022-10-14,2022_10_14_662398.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,48.8501133,2.3165051, France
55,Male,德国慕尼黑工业大学,,['English'],['poster'],,,True,,,,,True,,,2022-10-30,2022_10_30_483931.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,48.149554550000005,11.567753141783761, Deutschland
56,Male,德国慕尼黑工业大学,,"['English', 'Chinese', 'german']",['poster'],,,True,,,,True,True,,,2022-10-30,2022_10_30_909558.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,48.149554550000005,11.567753141783761, Deutschland
57,Female,University of California Berkeley ,,['Chinese'],['poster'],True,,,,,,,True,,,2022-10-21,2022_10_21_351849.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,37.8753497,-122.23963364918777, United States
58,Male,UCR Highlander Union Building,,['English'],['poster'],,,True,,,,,True,,,2022-10-19,2022_10_19_429634.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,
59,Non-binary,"University of Waterloo, Waterloo, Ontario, Canada",,"['English', 'Chinese']",['poster'],True,True,,,,,,True,,,2022-10-18,2022_10_18_799075.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,43.4701994,-80.54524293779451, Canada
60,Male,爱丁堡大学,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-30,2022_10_30_675649.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,55.91029585,-3.323447514558347, United Kingdom
61,Female,McGill University,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-11-03,2022_11_03_572512.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,45.50691775,-73.5791162596496, Canada
62,Non-binary,"University of Waterloo, Waterloo, Ontario, Canada",,"['English', 'Chinese']",['poster'],,True,True,,,True,,True,,,2022-10-18,2022_10_18_557211.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,43.4701994,-80.54524293779451, Canada
63,,University of California San Diego,,"['English', 'Chinese']",['poster'],,True,,,,,True,True,,,2022-10-20,2022_10_20_592803.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,32.87924375,-117.23112468377349, United States
64,Female,Ciudad Universitaria,,"['English', 'spanish']",['poster'],,True,,True,,,,True,,,2022-11-04,2022_11_04_168151.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,19.3215473,-99.1849188, México
65,,canal street new york,,"['Chinese', 'English']",['poster'],,,,,,,,,,True,2022-11-01,2022_11_01_784696.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.7186195,-74.0007681, United States
66,Male,UC Berkeley,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-16,2022_10_16_712941.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,37.8753497,-122.23963364918777, United States
67,Male,"115 N Lincoln Ave, Monterey Park, Monterey Park, CA 91755",,"['English', 'Chinese']",['poster'],,True,True,,,,,,,,2022-10-27,2022_10_27_440460.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,34.062791637820595,-118.12093260357298, United States
68,,canal street new york,,"['English', 'Chinese']",['poster'],,True,True,,True,True,True,,,True,2022-11-01,2022_11_01_985069.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.7186195,-74.0007681, United States
69,,Boston University,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-13,2022_10_13_626298.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,42.350189400000005,-71.10070118497421, United States
70,Female,Technische Universität Berlin,,"['English', 'Chinese']",['poster'],,,True,,,,,True,,,2022-11-02,2022_11_02_264017.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,52.51101585,13.326954140959668, Deutschland
71,,University of Toronto,,"['Chinese', 'English']","['poster', 'protest']",,True,,,,,,True,,True,2022-10-21,2022_10_21_983084.jpg,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,43.663461999999996,-79.39775966248058, Canada
72,,Cornell University,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-13,2022_10_13_335194.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,42.450550699999994,-76.47835129554275, United States
73,Female,"Northeastern University, Boston, MA",,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-16,2022_10_16_532925.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,42.3390301,-71.08791294953176, United States
74,,,,['Traditional Chinese'],['photography'],,,,,True,,,,,,2022-11-06,2022_11_06_349953.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,44.933143,7.540121, Italia
75,Non-binary,"University of Waterloo, Waterloo, Ontario, Canada",,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-18,2022_10_18_138718.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,43.4701994,-80.54524293779451, Canada
76,,Université Grenoble Alpes,,"['English', 'Chinese']","['poster', 'hand-written message']",,True,True,,,,,True,,,2022-11-02,2022_11_02_133288.jpg,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,45.1670258,5.7023, France
77,,The Australian National University,,"['Chinese', 'English']","['chalk', 'hand-written message', 'poster']",True,True,True,,,,,True,,,2022-10-20,2022_10_20_620726.jpg,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,0.3222749,32.5836599, Uganda
78,Female,Ciudad Universitaria,,"['English', 'spanish']",['poster'],,True,True,,,,,True,,,2022-11-04,2022_11_04_415793.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,19.3215473,-99.1849188, México
79,Male,"115 N Lincoln Ave, Monterey Park, Monterey Park, CA 91755",,['English'],['poster'],,,True,,,,,,,,2022-10-27,2022_10_27_957717.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,34.062791637820595,-118.12093260357298, United States
80,Female,University of Connecticut McMahon Residence hall,,['English'],['poster'],,,True,,,,,True,,,2022-10-31,2022_10_31_736147.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,
81,Female,AKV|St.Joost School of Art & Design,,"['English', 'Chinese']",['poster'],,True,True,,True,True,True,True,,,2022-10-21,2022_10_21_789848.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,,,
82,Female,ESSEC Business School,,"['English', 'Chinese']",['poster'],,True,True,,True,True,True,True,,,2022-10-27,2022_10_27_175533.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,1.30283265,103.78769786126159, Singapore
83,Male,"120 E Valley Blvd, San Gabriel, CA 91776",,['Traditional Chinese'],"['poster', 'large poster / sign']",,,True,,,,,,,,2022-10-16,2022_10_16_659398.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,34.079693319089095,-118.09914543986575, United States
84,Female,SciTech Library - The University of Sydney Library,,['English'],['poster'],,,True,,,,,True,,,2022-11-09,2022_11_09_996664.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,
85,,Durham University,,['English'],['poster'],,True,,True,,,,True,,,2022-10-20,2022_10_20_184881.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,54.5622715,-1.2963556567496446, United Kingdom
86,Male,"2nd & E 21st St, New York, NY 10010",,"['English', 'Chinese']",['poster'],,True,,,,,,,,,2022-10-30,2022_10_30_256959.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.7402175,-73.9904056, United States
87,Female,Hauptbahnhof Berlin,,"['English', 'Chinese']",['poster'],,True,True,True,True,True,True,,,,2022-10-23,2022_10_23_503092.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,52.4580188,13.5431614, Deutschland
88,Male,Simon Fraser University,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-11-01,2022_11_01_694789.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,49.276709600000004,-122.91780296438841, Canada
89,Female,Smith College,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-15,2022_10_15_492350.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,42.31622385,-72.64039314741159, United States
90,Female,Western University,,['English'],['poster'],True,True,True,,True,True,True,True,,,2022-11-04,2022_11_04_730513.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,32.7139413,-117.0372503, United States
91,Male,"355 E 20th St, New York, NY 10010",,"['Chinese', 'English']",['poster'],,True,,,,,,,,,2022-10-30,2022_10_30_256931.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.7352724,-73.980224, United States
92,Non-binary,"Northwestern University Evanston Campus, IL, USA",,['Chinese'],['poster'],,,,,True,True,True,True,,,2022-10-28,2022_10_28_218400.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,42.05318285,-87.67384219037922, United States
93,Male,UC Berkeley,,"['Chinese', 'English']",['poster'],,True,,,,,,True,,,2022-10-16,2022_10_16_913184.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,37.8753497,-122.23963364918777, United States
94,Male,Stony Brook University,,"['English', 'Chinese']",['poster'],True,True,True,,,,,True,,,2022-10-28,2022_10_28_910694.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.9090809,-73.12055180275716, United States
95,Male,"115 N Lincoln Ave, Monterey Park, Monterey Park, CA 91755",,['English'],['poster'],,True,,,,,,,,,2022-10-27,2022_10_27_201298.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,34.062791637820595,-118.12093260357298, United States
96,Male,"Camperdown NSW 2050, Australia",,['English'],['poster'],True,,True,,,,,True,,,2022-10-28,2022_10_28_562999.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,-33.8896116,151.1800986, Australia
97,Female,Berlin,,['English'],['poster'],,,True,,,,,,,,2022-10-21,2022_10_21_274445.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,52.5170365,13.3888599, Deutschland
98,,University of Rochester,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-11-02,2022_11_02_946672.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,43.1226985,-77.6307297, United States
99,,Vassar College,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-14,2022_10_14_300200.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,41.68616634999999,-73.89338274119729, United States
100,Non-binary,Hong Kong,,['English'],"['hand-written message', 'poster']",,True,,,,,,,,,2022-10-16,2022_10_16_465618.jpg,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,22.2793278,114.1628131, 中国
101,Male,Birmingham city centre ,,"['English', 'Chinese']",['poster'],,True,True,True,,,,,,,2022-10-17,2022_10_17_554276.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,52.476085,-1.8984913581365301, United Kingdom
102,Non-binary,香港城市大學,,"['English', 'Chinese']",['hand-written message'],,True,,,,,,True,,,2022-11-04,2022_11_04_534195.jpg,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,22.3400204,114.16971664362887, 中国
103,Female,莱顿大学,,['English'],['poster'],,True,True,True,,,,True,,,2022-11-03,2022_11_03_567253.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,52.168633850000006,4.45966305742133, Nederland
104,Male,Simon Fraser University,,['Chinese'],['poster'],,True,True,,,,,True,,,2022-11-01,2022_11_01_357406.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,49.276709600000004,-122.91780296438841, Canada
105,Male,Emerson College,,"['English', 'Chinese']",['poster'],,True,True,True,,,,True,,,2022-11-01,2022_11_01_813859.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,51.09990155,0.051608027279563304, United Kingdom
106,Female,Universität Mannheim ,,"['English', 'Chinese', 'german']",['poster'],,True,True,,,,,True,,,2022-10-29,2022_10_29_388047.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,49.4832445,8.4645749, Deutschland
107,,canal street new york,,['spanish'],['poster'],,,,,,,,,,True,2022-11-01,2022_11_01_250484.jpg,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,40.7186195,-74.0007681, United States
108,Non-binary,Washington Square Park,,"['Chinese', 'English']","['chalk', 'protest']",,True,True,,,,,,True,True,2022-10-16,2022_10_16_747236.jpg,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,40.73089125,-73.99758503833021, United States
109,,BI Norwegian Business School,,['English'],['poster'],,True,True,True,,,,True,,,2022-11-02,2022_11_02_647206.jpg,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,
